EntityCode,ID,Category,Name,Tags
25151408,8919,Control Measure : Line,Maneuver Areas : Axis of Advance : Enemy Templated or Suspected,Control Measure;Maneuver Areas;Axis of Advance;Enemy Templated or Suspected;gct_arrow_with_offset;NEW_AT_2525D;MAIN;Line;Maneuver Areas : Axis of Advance : Enemy Templated or Suspected;25151408
25151408,11197,Control Measure : Line,Maneuver Areas : Axis of Advance : Enemy Templated or Suspected,Control Measure;Maneuver Areas;Axis of Advance;Enemy Templated or Suspected;gct_arrow_with_offset;NEW_AT_2525D;MAIN;Line;Maneuver Areas : Axis of Advance : Enemy Templated or Suspected;25151408
25152000,11193,Control Measure : Line,Maneuver Areas : Attack by Fire Position,Control Measure;Maneuver Areas;Attack by Fire Position;gct_arrow_with_tail;G*GPOAF---****X;MAIN;Line;Maneuver Areas : Attack by Fire Position;25152000
25152100,11223,Control Measure : Line,Maneuver Areas : Support by Fire,Control Measure;Maneuver Areas;Support by Fire;gct_horns;G*GPOAS---****X;MAIN;Line;Maneuver Areas : Support by Fire;25152100
25152200,11222,Control Measure : Line,Maneuver Areas : Search Area/Reconnaissance Area,Control Measure;Maneuver Areas;Search Area/Reconnaissance Area;gct_two_line;G*GPGAS---****X;MAIN;Line;Maneuver Areas : Search Area/Reconnaissance Area;25152200
25230100,9789,Control Measure : Line,Deception : Decoy/Dummy,Control Measure;Deception;Decoy/Dummy;gct_open_triangle;G*GPPD----****X;MAIN;Line;Deception : Decoy/Dummy;25230100
25240102,10336,Control Measure : Area,Fires Areas : Airspace Coordination Area : Rectangular,Control Measure;Fires Areas;Airspace Coordination Area;Rectangular;gct_rectangular;G*FPACAR--****X;MAIN;Area;Fires Areas : Airspace Coordination Area : Rectangular;25240102
25240103,10334,Control Measure : Area,Fires Areas : Airspace Coordination Area : Circular,Control Measure;Fires Areas;Airspace Coordination Area;Circular;gct_circular;G*FPACAC--****X;MAIN;Area;Fires Areas : Airspace Coordination Area : Circular;25240103
25240202,10366,Control Measure : Area,Fires Areas : Free Fire Area : Rectangular,Control Measure;Fires Areas;Free Fire Area;Rectangular;gct_rectangular;G*FPACFR--****X;MAIN;Area;Fires Areas : Free Fire Area : Rectangular;25240202
25240203,10364,Control Measure : Area,Fires Areas : Free Fire Area : Circular,Control Measure;Fires Areas;Free Fire Area;Circular;gct_circular;G*FPACFC--****X;MAIN;Area;Fires Areas : Free Fire Area : Circular;25240203
25240302,10378,Control Measure : Area,Fires Areas : No Fire Area : Rectangular,Control Measure;Fires Areas;No Fire Area;Rectangular;gct_rectangular;G*FPACNR--****X;MAIN;Area;Fires Areas : No Fire Area : Rectangular;25240302
25240303,10376,Control Measure : Area,Fires Areas : No Fire Area : Circular,Control Measure;Fires Areas;No Fire Area;Circular;gct_circular;G*FPACNC--****X;MAIN;Area;Fires Areas : No Fire Area : Circular;25240303
25240402,10386,Control Measure : Area,Fires Areas : Restricted Fire Area : Rectangular,Control Measure;Fires Areas;Restricted Fire Area;Rectangular;gct_rectangular;G*FPACRR--****X;MAIN;Area;Fires Areas : Restricted Fire Area : Rectangular;25240402
25240403,10384,Control Measure : Area,Fires Areas : Restricted Fire Area : Circular,Control Measure;Fires Areas;Restricted Fire Area;Circular;gct_circular;G*FPACRC--****X;MAIN;Area;Fires Areas : Restricted Fire Area : Circular;25240403
25240501,10383,Control Measure : Area,Fires Areas : Position Area For Artillery (PAA) : Rectangular,Control Measure;Fires Areas;Position Area For Artillery (PAA);Rectangular;gct_rectangular;G*FPACPR--****X;MAIN;Area;Fires Areas : Position Area For Artillery (PAA) : Rectangular;25240501
25240502,10382,Control Measure : Area,Fires Areas : Position Area For Artillery (PAA) : Circular,Control Measure;Fires Areas;Position Area For Artillery (PAA);Circular;gct_circular;G*FPACPC--****X;MAIN;Area;Fires Areas : Position Area For Artillery (PAA) : Circular;25240502
